题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
卫生部陈竺部长视察中国医学科学院医学信息研究所/图书馆的讲话(摘要)," 2010年9月30日上午,卫生部陈竺部长到中国医学科学院医学信息研究所/图书馆视察指导工作。在现场参观和听取代涛所馆长的工作汇报后,陈竺部长发表了重要讲话,对医学信息研究所/图书馆近年来的发展给予高度肯定,并对下一步发展提出希望。陈竺部长的讲话不仅是对中国医学科学院医学信息研究所/图书馆工作的肯定,同时也是对全国医学信息事业发展的重视。对此,本刊特别刊发陈竺部长在视察时的讲话(摘要),以使我们更加明确前进的方向。",,2010/11/20,陈竺,卫生部,医学信息学杂志,R-5
“中华医学会第十六次全国医学信息学术会议”致辞," 2010年10月19-23日,由中华医学会医学信息学分会主办,南通大学承办的""中华医学会第十六次全国医学信息学术会议""在江苏南通召开。本次会议的主题是""发展医药卫生信息事业,服务医药卫生体制改革和医学科技创新""。来自全国22个省、自治区、直辖市的医学信息研究机构、医学专业图书馆、医学高等院校、医院信息中心等共180余位专家学者出席了会议。中华医学会医学信息学分会主任委员、中国医学科学院医学信息研究所/图书馆所馆长代涛研究员在开幕式上致辞,本刊特别刊发致辞内容,并对会议予以报道,以飨读者。",,2010/11/20,代涛,无单位信息,医学信息学杂志,R-2
“中华医学会第十六次全国医学信息学术会议”在江苏南通召开," &lt;正&gt;2010年10月19-23日,由中华医学会医学信息学分会主办、南通大学承办的""中华医学会第十六次全国医学信息学术会议""在江苏南通召开。来自全国22个省、自治区、直辖市的医学信息研究机构、医学专业图书馆、医学高等院校、医院信息中心等共180余位专家学者出席会议。本次会议的主题是""发展医药卫生信息事业,服务医药卫生体制改革和医学科技创新""。大会开幕式由中华医学会医学信息学分会前任",,2010/11/20,,无单位信息,医学信息学杂志,R-2
医学文献引证分析工作流程规范化探讨," 文献引证分析工作是医学信息分析评价工作的重要组成部分。根据文献引证分析业务工作现状提出规范化管理是提高服务质量、建设医学信息分析评价工作平台的重要基础。并根据文献引证分析业务的实际情况,从委托、受理、检索、撰写分析报告到文件归档5个关键环节探讨如何实现文献引证分析工作流程规范化。",文献引证分析;;工作流程;;规范管理;;科技评估;;医学信息分析评价;,2010/11/20,张玢;许培扬;王敏;刘晓婷,中国医学科学院医学信息研究所/图书馆,医学信息学杂志,R-5
杭州市医学文献数据库联盟建设实践," 介绍""杭州市医学文献数据库联盟平台""建设过程,指出数据库联盟的特点及优势,分析联盟平台存在的问题,提出丰富服务内涵,进一步发展数据联盟的措施,包括持续扩充数据资源、开发跨库检索平台等方面。",杭州;;医学文献数据库;;联盟建设;,2010/11/20,赵刚;陈育庆;何炜;沈林,杭州市医学情报中心,医学信息学杂志,R-5
常用国外全文数据库生物医学文献保障率评价分析," 采用PubMed作为参照数据库,应用科技查新和文献检索实例,对Elsevier SDOS、EBSCO、Spri-ngerLink、UMI ProQuest、Ovid等常用国外全文数据库生物医学文献收录情况进行小样本抽样统计、对比、分析和评价,并计算出文献保障率,旨在为医学科研人员快速、准确获取生物医学文献和图书馆选购国外全文数据库提供参考。",医学全文数据库;;文献保障率;;对比分析;,2010/11/20,朱东屏;黄永增,南京军区福州总医院信息科,医学信息学杂志,R-5
医学信息学方向的生物医学工程专业学位研究生联合培养模式探索," 为适应我国经济社会迅猛发展对人才知识结构需求的变化,高等院校对研究生教育结构进行了转型调整。在分析生物医学工程学科特点和专业学位硕士研究生培养定位的基础上,提出适应医疗卫生信息化建设需求的医学信息学方向的生物医学工程专业学位硕士研究生联合培养模式及具体实施方案。",医学信息学;;生物医学工程;;研究生教育;;联合培养模式;;专业学位;,2010/11/20,刘燕;周毅;李小华;周怡;陈素,1.中山大学中山医学院计算机中心;2.广州军区陆军总医院信息中心;3.广东药学院医药信息工程学院;4.广东中医药大学信息技术学院,医学信息学杂志,R318-4
对开展医院信息系统教学的思考," 随着我国教育改革的深入发展以及计算机技术在医院中的广泛应用,在医学院校中广泛开展医院信息系统教学势在必行。介绍我国医院信息化现状以及我国医学院校计算机基础教学现状,探讨引入医院信息系统教学的必要性和方式,并具体阐明在医学教育中开设""医院信息系统""课程的教学设想。",医院信息系统;;教学;;计算机教育;,2010/11/20,冯天亮;尚文刚,广东医学院,医学信息学杂志,R197.324-4
利用Histcite的人胚胎干细胞引文编年图主要路径分析," 采用可视化软件Histcite对人胚胎干细胞文献生成可视化引文编年图,将其生成的矩阵导入Histcite描述该领域研究的主要路径,揭示其发展历程,即胚胎干细胞的来源、培养、诱导与分化、多能性的维持。",Histcite;;引文编年图;;主要路径;;人胚胎干细胞;,2010/11/20,董立平;郭继军,中国医科大学图书馆,医学信息学杂志,R329
基于计量学的单克隆抗体分析," 从文献计量学角度分析单克隆抗体自1975年出现以来的发展情况。以PubMed数据库作为检索对象,分别从文献量、国家、期刊、合著情况和主题词等方面进行统计分析,结果显示单克隆抗体的研究经历了快速发展期、瓶颈期、恢复期,目前正处于平稳上升阶段,且正朝着交叉学科方向发展,并以全人源化单抗为重点,在诊断、治疗等领域发挥作用。",单克隆抗体;;文献计量学;;PubMed;,2010/11/20,马凌飞;陈理斌;张宏梁;田玲,中国医学科学院医学信息研究所,医学信息学杂志,R392.1
1979-2009年我国阅读疗法的文献计量研究," 以《中国期刊全文数据库》作为统计源,对1979-2009年发表的有关阅读疗法论文,从年代、期刊、作者和主题分布几方面进行文献计量分析。结果显示该领域研究论文质量不高,研究力量分散,研究主题主要集中在理论层面,对阅读疗法的实施效果研究较少。",阅读疗法;;文献;;计量研究;,2010/11/20,余明霞,广东药学院图书馆,医学信息学杂志,R395.5
护理电子病历系统的开发与应用," 设计开发护理电子病历系统并应用于临床,设计开发各项护理数据的录入模块,并通过数据调用和表格绘制自动形成护理电子病历。结果显示该系统使得护理病历更加规范化、科学化,不但提高医护人员的工作效率,而且使医院信息系统更加完善。",电子病历;;护理;;医院信息系统;,2010/11/20,陈薇薇;于敏;蒯颢;夏洪斌,第二军医大学长征医院信息科,医学信息学杂志,R47
脑功能成像及其数据处理方法," 对脑功能成像方法进行对比,探讨脑电图、脑磁图、功能核磁共振、单光子发射断层成像和正电子发射断层成像方法的优缺点,并对功能成像的数据处理方法:统计参数图和半定量分析进行详细介绍、讨论,提出存在的问题与不足,对脑功能成像研究具有一定借鉴作用。",脑功能成像;;数据处理;;统计参数图;;半定量分析;,2010/11/20,马凯,徐州医学院计算机教研室,医学信息学杂志,R741.044
基于Mashup的SinoMed西文生物医学文献数据库功能拓展实现," 针对SinoMed西文生物医学文献数据库功能缺陷,提出基于Mashup理念,整合自有资源与网络资源,拓展西文生物医学文献数据库功能。对系统功能设计和实现进行详细介绍,包括如何调用PubMed、Scopus数据库接口以及NSTL全文传递服务流程等。",Mashup;;生物医学;;文献数据库;;SinoMed;,2010/11/20,夏光辉;李军莲;钱庆,中国医学科学院医学信息研究所,医学信息学杂志,TP311.13;R-5
医院信息化内涵建设研究," 提出加强医院信息化内涵建设,并具体论述建立追溯系统、多院区信息系统,完善信息监管、治疗安全,将知识整合、临床研究一体化、伦理考量融入信息系统等实现方法,为医院信息化未来发展探索切实可行的解决方案。",医院信息化;;内涵建设;;建设方法;,2010/11/20,刘珉;殷亦超,上海中医药大学附属曙光医院信息中心,医学信息学杂志,R197.324
院内报疫系统的建立及使用," 阐明国内传染病监测信息报告情况,介绍现在使用的网络直报系统质量评价指标,论述医院内部报疫系统的建设方法与过程、系统软件的结构与功能,并指出系统的应用前景。系统的应用有助于提高报疫信息收集的及时性、准确性和完整性。",报疫系统;;信息共享;;系统建立;,2010/11/20,陆慧菁;杨广黔,广州医学院第二附属医院,医学信息学杂志,R197.324
基于电子病历系统的“危急值”报告制度," 阐述临床""危急值""报告制度的重要性以及我国当前临床""危急值""报告模式,结合滨州医学院附属医院具体实践探讨基于电子病历系统的""危急值""报告制度的建立,并具体介绍其""危急值""标准。指出建立临床""危急值""报告制度,适应新形势下医院信息化建设的要求,对提高医院医疗质量和管理水平具有重要的促进与保障作用。",危急值;;报告模式;;预警范围;,2010/11/20,宋守君;孙长华;马起龙;邓国志;于鹏,滨州医学院附属医院门诊部,医学信息学杂志,R197.324
电子病历无纸化归档存储研究与应用," 无纸化、数字化是电子病历发展方向。以中山市人民医院电子病历无纸化归档存储研究为例,探讨电子病历无纸化归档存储的模式与具体方案,分析这种存储模式的优势,以及来自于系统集成等方面的问题与困难,总结其应用效果,指出无纸化归档存储具有明显的经济、管理、社会效益。",电子病历;;病历存储模式;;无纸化存储;,2010/11/20,余元龙;苏韶生;程敏婷;张淑娟,中山市人民医院信息科,医学信息学杂志,R197.324
医院信息化建设之数据安全策略," 随着医院信息化的不断推进,对信息系统的依赖越来越强,因此必须建立一套完善的数据安全机制,保证医院信息系统稳定安全的运行。结合东莞市石龙人民医院信息化建设实践,分析信息化建设过程中遇到的数据安全问题,并提出相应解决方案。",信息化;;数据安全;;策略;,2010/11/20,刘芙蓉,东莞市石龙人民医院,医学信息学杂志,R197.324
医疗机构管理业务将网上办理," &lt;正&gt;卫生部日前下发通知,将在全国统一使用""医疗机构注册联网管理系统""。从2011年2月1日起,地方各级卫生行政部门要将医疗机构的各项管理信息及时录入该系统,并逐步探索实现医疗机构行政管理业务的网上办理。据了解,""医疗机构注册联网管理系统""",,2010/11/20,,无单位信息,医学信息学杂志,R197.324
MeSH的概念结构及其意义," 通过对MeSH从传统词结构模式向基于概念结构模式转变的研究,重点对MeSH概念结构特征、主题词类构成、语义关系揭示和表述进行分析。从MeSH的结构化组织方式、语义网实现、一体化知识组织模式和兼容发展等方面,对网络环境下主题词表的建设与发展进行论述。",MeSH概念结构;;主题词类;;语义关系;;语义网;,2010/11/20,李丹亚;李军莲;胡铁军,中国医学科学院医学信息研究所,医学信息学杂志,G353
我国医学高等院校特色数据库建设情况调查与分析," 通过网络对全国144所医学类高校和含有医学院系的综合性大学图书馆的特色数据库建设情况进行调研,划分数据库类别,并对每类数据库建设的数量和特点等进行分析,结果显示医学特色数据库建设已初具规模,但质量存在差异,且在标准化、选题等方面仍存在不足。",特色数据库;;特色资源;;医学特色数据库;,2010/11/20,周瑛;马淑坤;李瑞勤,沈阳医学院图书馆,医学信息学杂志,G250.74
中国知网医生个人数字图书馆的应用," 阐明个人数字图书馆的概念,介绍中国知网医生个人数字图书馆的使用方法与实现的功能,指出基于个人数字图书馆的资源整合是提高信息利用率的有效途径,用户需不断提高信息检索与利用能力才能更好地发挥个人数字图书馆的功能。",医生个人数字图书馆;;信息资源;;个性化;,2010/11/20,李若惠,成都军区昆明总医院信息科,医学信息学杂志,G250.76
BALIS原文传递服务使用状况调查与分析," 在北京市高校范围内进行BALIS原文传递服务使用状况调查,采取网络调查和发放纸质问卷两种方式,结果显示:BALIS原文传递服务得到一定认可,但仍存在很多问题,网络已成为读者查找图书馆未收藏文献的主要途径。",BALIS;;原文传递;;读者调查;,2010/11/20,田瑞;黄智武;丁永玲,1.首都医科大学图书馆;2.中国人民大学图书馆;3.中央财经大学图书馆,医学信息学杂志,G253
论网络参考咨询服务隐私权保护," 图书馆的日益网络化拓展了参考咨询服务的深度和广度,技术环境的改变给馆员和用户带来便利的同时也引发了隐私权保护的新问题。列举网络参考咨询服务中涉及用户隐私的领域、不安全因素、隐私侵权的可能环节,并提出保护用户隐私权的策略,包括加快制定相关法律、制定图书馆内部保密制度、加强用户自我保护意识和网络监管等方面。",参考咨询;;网络环境;;隐私权;,2010/11/20,吴珞华,湖北省疾病预防控制中心,医学信息学杂志,G252.6
高校图书馆电子阅览室安全隐患及其对策," 阐述高校图书馆电子阅览室存在的消防、财产、环境、系统、网络等安全隐患,结合汕头大学医学院图书馆实践,提出相应对策,包括建立科学合理的规章制度、制定相应预案、提高管理人员素质、加强读者安全教育等方面。",高校图书馆;;电子阅览室;;安全;,2010/11/20,沈少珠,汕头大学医学院图书馆,医学信息学杂志,G258.6
美医疗信息市场规模两年内预计将达500亿美元," &lt;正&gt;美国市场调查公司Forrester Research预计未来两年内美国医疗信息市场规模将达500亿美元,印度科技公司正觊觎着美国医疗病历数字化带来的巨大市场。2011年美国政府将率先拿出数十亿美元的资金支持采用电子病历的医疗机构。随着美国逐渐推行新的保险法案,各州政府也颁布法令让医生们必须对医疗软件进行升级。Forrester Research的分析师",,2010/11/20,,无单位信息,医学信息学杂志,R199
基于专利信息分析的紫杉醇技术生命周期," 专利信息分析是情报研究的重要工具,介绍专利技术生命周期理论与计算方法,以药物紫杉醇技术为例,对其总体发展趋势和技术生命周期进行分析,指出该技术已脱离新技术范畴,处于技术成熟期阶段。",专利分析;;紫杉醇;;技术生命周期;,2010/11/20,余致力,中国药科大学图书馆,医学信息学杂志,G306
社区卫生信息化在区域卫生信息化中的地位和作用," 国家新一轮深化医药卫生体制改革对社区卫生信息化和区域卫生信息化均提出要求。从二者涵义和特点入手,分析社区卫生信息化在区域卫生信息化中的地位和作用,并介绍北京市通过社区卫生信息化建设积极发展区域卫生信息化的实践。",社区卫生;;区域卫生;;信息化;;新医改;,2010/10/20,张世红;王晖,北京市公共卫生信息中心,医学信息学杂志,R197.1
社区居民电子健康档案系统的设计与实现," 介绍面向社区卫生服务机构的居民电子健康档案管理系统的设计与实现。阐明系统开发平台、整体架构,指出系统具有符合标准、可扩展性等特点以及健康档案数据管理、文档管理等功能。认为该系统的应用有助于提高档案利用率和实现区域医疗共享,总结系统使用效果和下一步拓展方向。",社区卫生;;电子健康档案;;信息管理系统;,2010/10/20,顾晓晖,北京市公共卫生信息中心,医学信息学杂志,R197.1
数字证书在社区卫生服务管理信息系统中的应用," 随着医疗卫生行业信息化建设的推进,居民健康档案及处方信息等逐步电子化,但出现数据泄密、身份认证及医生签名的真实性等安全问题。结合北京市社区卫生信息系统试点安全建设项目的具体实施方案,介绍基于数字证书技术的电子签章系统在社区卫生行业中的具体应用。",健康档案;;数字证书;;电子签章;;社区卫生信息系统;,2010/10/20,郑攀;王晖,北京市公共卫生信息中心,医学信息学杂志,R197.1
医学高校图书馆在新农村卫生信息化建设和培养乡村医师中的作用," 分析农村卫生信息化建设的特点,指出新农村医疗卫生事业发展需要高等医学院校图书馆的服务,探讨高等医学院校图书馆在农村卫生信息化建设中的服务方式及在培养乡村医师中的作用,认为应充分利用医学信息资源,为农村卫生事业发展搭建良好平台。",高等医学院校;;图书馆;;农村卫生信息化;;乡村医师;,2010/10/20,董凯;张春军;董琦,牡丹江医学院,医学信息学杂志,R197.1
卫生信息化建设“十二五”规划初定," &lt;正&gt;卫生部部长陈竺近日前往中国医学科学院医学信息研究所和卫生部卫生发展研究中心视察。陈竺指出,当今我国以SCI论文数为评价指标的医学科技成果已位居世界前列,但包括卫生信息化建设、卫生政策研究在内的""软科技""却与发达国家相去甚远,成为卫生发展中的""短板""。只有将""软""""硬""科技相结合,共同发展,才能实现我国卫生事业",,2010/10/20,,无单位信息,医学信息学杂志,R197.1
浙江省推出全国首个省级预约诊疗服务平台," &lt;正&gt;浙江省创新推出全国首个省级统一预约诊疗服务平台,这是广大患者自助择医就诊的便民窗口,作为浙江省深化医药卫生体制改革的民生工程,将大大改善""看病难""问题。2010年9月27日,浙江省卫生厅举行""浙江省预约诊疗服务平台""启动仪式。据悉,该平台从2009年11月份开始酝酿,包括前期调研、需求分析、确",,2010/10/20,,无单位信息,医学信息学杂志,R197.1
《医学信息学杂志》专家委员会名单, &lt;正&gt;~~,,2010/10/20,,无单位信息,医学信息学杂志,R-5
《医学信息学杂志》第五届编委会名单, &lt;正&gt;~~,,2010/10/20,,无单位信息,医学信息学杂志,+
浙江省儿科类核心期刊发文分析," 以《中国生物医学文献数据库》(CBM)和《中国生物医学期刊引文数据库》(CMCI)为数据来源,统计分析2005-2009年浙江省作者在国内6种儿科类核心期刊发表文献量、各地区所占百分比以及第一作者所属单位,从侧面了解浙江省儿科事业的发展情况,结果显示浙江省儿科学各个方面发展基本持平,各地区、各级医院科研发展不平衡。",浙江省;;儿科;;核心期刊;;文献计量分析;,2010/10/20,胡天天;杜娟;张嬿,浙江省医学科学院医学情报研究所,医学信息学杂志,+
“名老中医临床诊疗方案”CAI课件制作与研究思路," 介绍""名老中医临床诊疗方案""计算机辅助教学(Computer Assisted Instruction,CAI)课件设计和制作过程,包括教学目标制定、课件脚本撰写、检索平台设计、媒体素材选择、课件制作技术与流程。指出中医教学应充分发挥现代教育技术的优势,从而构成立体化教材体系,丰富教学内容和方法。",中医信息学;;多媒体;;计算机辅助教学;;教学课件;,2010/10/20,孙海舒,中国中医科学院中医药信息研究所,医学信息学杂志,R-4
生物医学领域本体网络整合工具研究进展," 介绍3类国内外生物医学领域本体网络整合工具的研究成果,包括生物医学本体网络整合平台、疾病-药物本体知识发现工具、基因-蛋白质本体集成分析工具,分析其特点及不足,总结本体整合工具开发过程中应该注意的问题,希望能为相关研究者提供借鉴。",生物医学;;本体;;整合工具;;关系抽取;,2010/10/20,李猛;吴正荆,吉林大学公共卫生学院,医学信息学杂志,R318.0
元数据技术在医学信息资源整合中的应用," 对生物医学信息资源及元数据进行分析,并在此基础上深入剖析元数据技术在不同医学信息资源整合中的应用,包括OPAC,Web Service,SFX,OAI,知识本体系统等,提出利用元数据技术整合医学信息资源时应注意的几个问题。",信息资源;;整合;;元数据;,2010/10/20,尚慧;李雪琴,山西医科大学图书馆,医学信息学杂志,R319
医学院校计算机教学改革探析," 介绍医学计算机基础教学的培养目标,指出应针对不同教学内容选择不同教学方法,采用讲授教学法、示范教学法、项目教学法相结合的教学模式。阐明应按照概念性基础、技术与方法、应用技能3个层次进行课程设置,并建立综合性考试体系。",计算机教学;;教学模式;;教学改革;,2010/10/20,杨俊丽;李祥生,山西医科大学计算机教学部,医学信息学杂志,TP3-4
基于Web的残疾调查监测统计数据管理系统设计与开发," 以中国康复研究中心康复信息研究所与广西残疾人联合会抽样调查办公室联合开发的残疾调查监测统计数据管理系统为例,探讨调查监测系统设计与开发相关技术,包括系统的架构设计和功能实现等内容。本系统在国内第1次应用基于Web的技术实现了残疾调查监测数据的实时上报、存储和统计等功能,节约大量人力、物力资源,提高了工作效率。",残疾调查监测;;Web技术;;数据管理系统;,2010/10/20,陈迪;邱卓英,中国康复研究中心康复信息研究所,医学信息学杂志,TP311.52
现代化科研信息管理网络系统探析," 阐明科研信息管理网络化的优势,调研科研院所现有的科研信息化程度,并分析其存在的问题,论述建立、开发网络化管理系统的原则、条件,指出建立科研信息管理网络化系统是现阶段科研信息管理的首要任务。",科研信息管理;;网络化;;系统;,2010/10/20,佘义,中国医学科学院放射医学研究所,医学信息学杂志,TP315
词共现分析在构建概念空间中的应用研究综述," 利用共现分析构建概念空间,实现语义检索,是当前信息组织和检索领域研究热点之一。阐明概念空间的定义、意义、应用及构建方法,介绍词共现分析技术的内涵、应用前提、演进历程、步骤与方法,从多个角度系统综述词共现分析在构建概念空间、本体、揭示语义关系等方面的应用状况,为构建基于概念空间的信息检索可视化系统研究奠定基础。",词共现分析;;概念空间;;本体;;语义关系;,2010/10/20,冀玉静;李军莲;李芳,中国医学科学院医学信息研究所,医学信息学杂志,TP391.1
医院网站维护及其重要性," 医院网站是医院信息化建设的重要组成部分。介绍网站维护的含义及重要性,结合西安交通大学医学院第一附属医院实践,阐明健全网站维护管理机制、网站安全管理、网站信息内容维护、网站推广的行为与措施,指出一个以制度建设为保障而不断更新、稳定运行的网站才会有长远的发展。",医院网站;;网站维护;;重要性;,2010/10/20,赵延红;高毅军;郭俊;庞亮,西安交通大学医学院第一附属医院,医学信息学杂志,TP393.092
HIS环境下触摸屏查询系统设计与实施," 介绍触摸屏技术的原理、种类、特点,阐明医院触摸屏查询系统的功能、设计中应注意的问题,具体阐述系统的结构、设计与实施过程,指出该系统可以在医院信息咨询服务中发挥重要作用。",医院信息系统;;触摸屏;;查询系统;,2010/10/20,蔡晓白,中国康复研究中心信息所,医学信息学杂志,R197.324
数据挖掘技术在医院信息系统中的应用," 介绍数据预处理、匿名化与标识转换等医学数据挖掘的关键技术,阐明医院信息系统中数据挖掘的基本过程,包括数据提取和预处理、运行挖掘算法、模式发现、知识表示和评价几个环节,并从模型建立、实现过程两方面详细论述数据挖掘技术在医院信息系统中的应用。",数据挖掘技术;;医院信息系统;;过程;;应用;,2010/10/20,韩煜,中山大学附属第五医院,医学信息学杂志,R197.324
肿瘤远程会诊建50家试点医院," &lt;正&gt;卫生部2010年9月已经开展了肿瘤病理远程会诊及质控网络体系建设试点工作。到2011年3月,将有10家试点医院开展工作。2013年9月,计划完成50家试点医院的病理远程会诊、质控体系建设,并总结经验在全国医疗机构推广。试点工作为期3年:2010年9月-2011年3月项目启动,组建专",,2010/10/20,,无单位信息,医学信息学杂志,R197.324
新型信息媒体技术应用于医院图书馆服务探索," 分析医院医务人员信息需求的特点,综述网络博客、QQ群共享空间、E-mail、专业论坛、VPN和RSS等各种新型信息媒体技术在图书馆中的应用,以及图书馆网站或知识服务平台对信息资源的整合管理作用,进而为医院医务人员提供全面、互动、主动的医学信息服务,促进提升医院医疗技术实力。",新型信息媒体技术;;医院图书馆;;服务;,2010/10/20,季汉珍;练晓琪;周建伟,1.江苏省南通市第三人民医院;2.南通大学附属医院图书馆;3.南京医科大学,医学信息学杂志,G252
国外科技文献共享状况分析," 对美、英、法3个国家4个典型的图书馆联盟:OCLC,OhioLINK,JISC,Questel.Orbit的管理体制、资金来源、数据库资源以及提供的相关服务等方面进行比较研究,总结国外在文献信息资源共享方面的特点和优势,以期为我国信息资源共享提供一定借鉴。",美国;;英国;;法国;;信息资源共享;;共享联盟;,2010/10/20,冯海洲;张睿,山东省科学院情报研究所,医学信息学杂志,G253
高校图书馆服务创新探讨," 介绍高校图书馆服务创新的含义及提出服务创新的原因,具体阐述高校图书馆服务创新的途径,包括坚持以人为本、提高读者满意度、提高个性化服务水平、加强专题服务等方面。",高校图书馆;;服务;;创新;,2010/10/20,唐运桥,咸宁学院图书馆,医学信息学杂志,G252
高校图书馆古籍资源学科化知识服务的实践与思考," 以中医院校相关师生对古籍资源的需求现状为切入点,指出图书馆需要正确处理古籍资源利用与保护的关系,从学科化知识服务角度探讨高校图书馆盘活古籍资源的现实意义和具体实施手段。",高校图书馆;;古籍资源;;学科化知识服务;,2010/10/20,李文林;曾莉;张稚鲲,南京中医药大学图书馆,医学信息学杂志,G256
网络环境下对临床医生的个性化信息服务," 论述在网络环境下图书馆为临床医生开展个性化信息服务的必要性和可行性,介绍开展个性化信息服务的前期准备工作和具体的服务模式;同时对应注意的问题进行探讨。",医学院校;;图书馆;;临床医生;;个性化信息服务;,2010/10/20,崔延华;韩进军,1.滨州医学院附属医院;2.滨州医学院图书馆,医学信息学杂志,G252
预防医学图书馆个性化信息服务探讨," 从图书馆个性化信息服务的含义入手,论述预防医学图书馆开展个性化信息服务的必然性,介绍预防医学图书馆实现个性化信息服务的模式,包括基于科技查新的个性化信息服务、基于参考咨询的垂直信息服务、基于决策的知识推荐服务、最新资料快报服务等。",预防医学;;图书馆;;个性化服务;;信息服务;,2010/10/20,吴珞华;徐波,1.湖北省疾病预防控制中心;2.北京市疾病预防控制中心,医学信息学杂志,G252
文献传递服务工作实践," 结合复旦大学医科图书馆工作实践,分析文献传递工作呈现的特点和发展趋势,提出提高文献传递服务质量的措施和经验,包括人员要求、配备相应设施、多方开展合作、实施文献传递补贴政策。",文献传递;;服务质量;;服务措施;,2010/10/20,周月琴,复旦大学医科图书馆,医学信息学杂志,G252
高校图书馆编目业务外包的实践与思考," 简要阐述编目业务外包产生的原因,介绍编目业务外包的现状,并对编目业务外包的利弊进行详尽的分析,提出做好编目业务外包工作的措施,包括选择优质书商,制定编目细则,合理利用标准数据源等。",高校图书馆;;编目工作;;业务外包;,2010/10/20,王维秋,中国医科大学图书馆,医学信息学杂志,G254
高校图书馆与网络信息中心合并的优势及对策," 简要介绍国内外高校图书馆与网络信息中心设置状况,以台湾某高校为例,阐述高校图书馆与网络信息中心合并、统一办公的优势及存在的问题,提出合并后应采取的对策,包括加强关键岗位人才建设与培养、理顺人员管理、调整二级机构等方面。",图书馆;;网络信息中心;;信息部门合并;;信息管理模式;,2010/10/20,方习国,蚌埠医学院,医学信息学杂志,G250.7;G258.6
图书馆员开展循证医学信息服务应具备的专业素质及其培养," 循证医学的发展为医学图书馆开辟了全新的服务方式,需要提升图书馆员专业素质以适应循证医学信息服务工作。分析图书馆员开展循证医学信息服务应具备的基本素质,如:循证医学基础知识、临床医学基础知识、计算机应用技能、医学统计学以及沟通技能等。提出应从高等学历教育、职业教育、继续教育、终身教育等各方面加强图书馆员专业素质培养。",循证医学;;图书馆员;;专业素质;,2010/10/20,朱志启,汕头大学精神卫生中心信息科,医学信息学杂志,G251.6
医院网站服务器群负载均衡解决方案," 通过对医院网站主要目的及功能设计原则的定位分析,指出医院网站站群系统是基于服务器群来实现的。介绍能够适应服务器群设备性能优化需求的负载均衡技术及其发展历程,提出医院网站服务器群负载均衡的解决方案,以满足系统稳定性、安全性及高效性的需要。",医院网站;;服务器群;;负载均衡;;解决方案;,2010/9/20,赵延红;高俊峰,1.西安交通大学医学院第一附属医院,医学信息学杂志,R197.3
卫生部拟建立医疗安全事件信息直报系统," &lt;正&gt;卫生部拟建立医疗安全事件信息直报系统,""用药错误""将作为重要组成部分纳入此系统。系统通过收集、分析信息,发现有代表性的管理和系统问题,提出风险预警信息,指导医疗机构加强质量改进。据介绍,我国每年报告的药物不良反应(ADR)例数逐年上升,2009年达到638 996份。据国家药物不良反应监测中心估计,我国每",,2010/9/20,,无单位信息,医学信息学杂志,R197.1
区域协同医疗服务示范工程将全国推广," &lt;正&gt;近日从在青岛召开的区域协同医疗服务示范工程成果推广及卫生部数字化试点示范医院经验交流会上获悉,国家重大专项区域协同医疗服务示范工程的4个卫生信息化示范工程已经全部通过验收。该示范工程建设4年来,以卫生资源和信息共享为目标,搭建起政府、医疗机构、社区区域医疗服务共享的平台,使有限的卫生资源利用率得到最大化。这4个卫生信息化示范工程包括:解放军总医院、福建省厦门市、辽宁省大连市等联合实施的军民协同区域医疗服务工程,四川大学华西医院与二级医院、社区卫生服务中心联合实施的大型综合医院区域协同医疗示范工程,四川省卫",,2010/9/20,,无单位信息,医学信息学杂志,R197.1
药学信息学硕士研究生的培养方向," 从技术信息学、服务信息学两方面阐明药学信息学的研究范畴,从导师设置、人才特征、学位课程和科研选题方面分析技术培养模式、服务培养模式的区别和不同发展方向,指出药学信息学硕士研究生应采取技术——服务型培养模式。",药学信息学;;技术信息学;;服务信息学;,2010/9/20,顾东蕾;刘旭明,1.中国药科大学图书馆;2.中国药科大学生命科学与技术学院,医学信息学杂志,R9-4
医学院校信息素养教育情况调查研究," 以中国医学科学院医学信息研究所初步建立的""医学生信息素养能力指标体系""为指导,对国内10余所医学院校信息素养教育情况进行实地调研及问卷调查。主要从课程名称、师资队伍、课程设置等方面,分别就教学特色、存在问题、相关建议进行了分析总结。调查结果显示,国内应加强医学信息素养教育研究;改进医学信息素养教育模式;建立并完善医学生信息素养能力评价指标体系。",医学生;;信息素养教育;;文献检索课程;;实地调研;;问卷调查;,2010/9/20,张燕舞;张玢;王敏;阿丽塔;李越,中国医学科学院医学信息研究所,医学信息学杂志,R-4
专题门户构建——教学实验设计与实施," 从个性化服务理念出发,面向专业化服务需求,系统设计""生物医学文献与网络资源""课程的新型实验""专题门户构建"",从设计总则、操作步骤、实验报告、总结、结果评价、实施效果、新规划及推广应用几方面具体阐述实验实施情况。",专题门户;;信息构建;;实践教学;;生物医学;;信息资源;,2010/9/20,黄亚明;赵玉虹;崔雷;王孝宁;李范,中国医科大学信息管理与信息系统(医学)系/图书馆,医学信息学杂志,R-4
